Timestamp,Name,Value
8.329774,"NT:/limelight-front/json","{""Results"":{""Bardcode"":[],""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":1.8001961507252418e-05,""tx"":1.417920618112916,""txp"":665.6265869140625,""ty"":12.218082092166213,""typ"":253.7317657470703},{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":5.0732804083963856e-05,""tx"":1.7854704215376955,""txp"":672.0616455078125,""ty"":6.01830510126409,""typ"":369.9923400878906}],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""cl"":37.619998931884766,""pID"":0.0,""t6c_rs"":[0.0,0.0,0.0,0.0,0.0,-0.0],""tl"":28.382221221923828,""ts"":57978.836353,""v"":1}}"
8.32983,"NT:/limelight-front/tvert",17
8.32983,"NT:/limelight-front/tshort",10.940534591674805
8.329848,"NT:/limelight-front/tlong",15.264337539672852
8.329848,"NT:/limelight-front/ta",0.00887824036180973
8.329867,"NT:/limelight-front/tc",0.13333334028720856;0.1725490242242813;0.1764705926179886
8.329867,"NT:/limelight-front/tl",28.382221221923828
8.329885,"NT:/limelight-front/ts",31.607501983642578
8.329885,"NT:/limelight-front/tv",1
8.329885,"NT:/limelight-front/tx",1.4196215867996216
8.329904,"NT:/limelight-front/ty",12.237045288085938
8.329923,"NT:/limelight-front/botpose_wpiblue",0;0;0;0;0;0;66.0022201538086
8.329923,"NT:/limelight-front/hb",1560
8.329941,"NT:/limelight-front/botpose",0;0;0;0;0;0;66.0022201538086
8.329941,"NT:/limelight-front/thor",14
8.32996,"NT:/limelight-front/botpose_wpired",0;0;0;0;0;0;66.0022201538086
8.360178,"NT:/limelight-front/tl",29.592777252197266
8.360196,"NT:/limelight-front/tx",1.443002462387085
8.360196,"NT:/limelight-front/ty",12.041937828063965
8.360215,"NT:/limelight-front/ta",0.004418663680553436
8.360215,"NT:/limelight-front/ts",56.3099365234375
8.360215,"NT:/limelight-front/tlong",14.422204971313477
